@relation Dataset_persona_comas_res

@attribute Zona {Urbana,Rural}
@attribute Sexo {Hombre,Mujer}
@attribute Edad numeric
@attribute 'Estado Civil' numeric
@attribute Pueblo numeric
@attribute 'Nivel edu' numeric
@attribute Matricula {no,si}
@attribute 'Prox Nivel ed' numeric

@data
Urbana,Mujer,12,1,2,42,si,42
Urbana,Hombre,19,3,1,42,no,0
Urbana,Mujer,18,3,1,42,no,0
Urbana,Hombre,63,2,1,21,no,0
Urbana,Mujer,63,2,1,21,no,0
Urbana,Hombre,34,1,1,72,si,72
Urbana,Hombre,25,1,1,72,si,72
Urbana,Mujer,23,1,1,72,si,72
Urbana,Mujer,17,1,1,42,si,42
Urbana,Hombre,61,5,1,23,no,0
Urbana,Hombre,52,2,1,21,no,0
Urbana,Mujer,54,2,1,21,no,0
Urbana,Hombre,25,1,1,32,no,0
Urbana,Hombre,22,1,1,72,si,72
Urbana,Hombre,20,1,1,42,si,72
Urbana,Mujer,15,1,1,42,si,42
Urbana,Mujer,13,1,1,42,si,42
Urbana,Mujer,22,3,1,42,no,0
Urbana,Hombre,22,3,2,42,no,0
Urbana,Hombre,0,1,1,0,no,0
Urbana,Hombre,40,2,1,72,no,0
Urbana,Mujer,40,2,1,72,no,0
Urbana,Hombre,18,1,1,42,si,81
Urbana,Hombre,15,1,1,42,si,42
Urbana,Hombre,1,1,1,0,no,0
Urbana,Hombre,54,3,2,23,no,0
Urbana,Mujer,50,3,2,23,no,0
Urbana,Hombre,25,1,2,32,si,63
Urbana,Hombre,24,3,2,42,no,0
Urbana,Mujer,25,3,1,32,no,0
Urbana,Mujer,2,1,2,0,no,0
Urbana,Hombre,34,3,1,32,no,0
Urbana,Mujer,34,3,1,32,no,0
Urbana,Mujer,9,1,2,41,si,41
Urbana,Mujer,6,1,2,13,si,13
Urbana,Hombre,70,2,1,22,no,0
Urbana,Mujer,69,2,1,22,no,0
Urbana,Hombre,39,2,2,32,no,0
Urbana,Mujer,39,2,2,23,no,0
Urbana,Mujer,15,1,2,42,si,42
Urbana,Hombre,70,2,1,21,no,0
Urbana,Mujer,68,2,1,11,no,0
Urbana,Hombre,24,1,2,72,no,0
Urbana,Hombre,19,1,2,42,si,42
Urbana,Hombre,17,1,2,42,si,42
Urbana,Mujer,16,1,2,42,si,42
Urbana,Mujer,12,1,2,41,si,41
Urbana,Hombre,62,2,1,23,no,0
Urbana,Mujer,55,2,1,11,no,0
Urbana,Hombre,35,1,2,32,no,0
Urbana,Hombre,31,1,2,32,no,0
Urbana,Hombre,26,1,2,42,no,0
Urbana,Mujer,24,1,2,72,si,72
Urbana,Mujer,21,1,2,72,si,72
Urbana,Hombre,67,2,2,21,no,0
Urbana,Mujer,68,2,1,11,no,0
Urbana,Hombre,42,1,2,72,no,0
Urbana,Hombre,35,1,2,77,no,0
Urbana,Mujer,42,4,1,72,no,0
Urbana,Hombre,21,1,2,72,si,72
Urbana,Hombre,26,3,2,72,si,72
Urbana,Mujer,26,3,2,72,no,0
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,21,1,1,42,no,0
Urbana,Hombre,28,2,2,76,no,0
Urbana,Mujer,29,2,2,72,no,0
Urbana,Hombre,6,1,2,13,si,41
Urbana,Mujer,5,1,2,13,si,13
Urbana,Hombre,28,3,2,32,no,0
Urbana,Mujer,30,3,2,32,no,0
Urbana,Hombre,7,1,2,41,si,41
Urbana,Hombre,5,1,2,11,si,13
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,40,1,2,23,no,0
Urbana,Hombre,42,2,2,22,no,0
Urbana,Mujer,49,2,2,23,no,0
Urbana,Mujer,20,1,2,42,no,0
Urbana,Hombre,17,1,2,42,si,42
Urbana,Mujer,14,1,2,42,si,42
Urbana,Hombre,48,2,2,77,no,0
Urbana,Mujer,41,2,2,77,no,0
Urbana,Hombre,15,1,2,42,si,42
Urbana,Hombre,12,1,2,41,si,41
Urbana,Hombre,29,2,2,32,no,0
Urbana,Mujer,25,2,2,52,no,0
Urbana,Hombre,10,1,2,41,si,41
Urbana,Hombre,31,1,1,72,no,0
Urbana,Mujer,40,2,1,72,no,0
Urbana,Mujer,17,1,2,42,si,42
Urbana,Mujer,13,1,2,42,si,42
Urbana,Hombre,11,1,2,41,si,41
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,7,1,2,41,si,41
Urbana,Mujer,5,1,2,13,si,13
Urbana,Hombre,68,2,1,72,no,0
Urbana,Mujer,68,2,1,21,no,0
Urbana,Hombre,49,2,2,21,no,0
Urbana,Mujer,47,2,2,21,no,0
Urbana,Hombre,26,1,2,32,si,77
Urbana,Hombre,25,1,2,72,si,72
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,51,2,2,23,no,0
Urbana,Hombre,22,1,2,71,si,71
Urbana,Hombre,20,1,2,42,si,72
Urbana,Mujer,25,2,2,72,si,72
Urbana,Hombre,0,1,2,0,no,0
Urbana,Hombre,37,2,2,32,no,0
Urbana,Mujer,37,2,2,31,no,0
Urbana,Hombre,12,1,2,41,si,42
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,9,1,2,41,si,41
Urbana,Hombre,40,2,2,22,no,0
Urbana,Mujer,40,2,2,21,no,0
Urbana,Hombre,31,2,2,32,no,0
Urbana,Mujer,32,2,2,72,si,72
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,7,1,2,41,si,41
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,45,2,1,23,no,0
Urbana,Mujer,40,2,1,32,no,0
Urbana,Hombre,16,1,1,42,si,42
Urbana,Hombre,12,1,1,41,si,42
Urbana,Hombre,50,2,2,23,no,0
Urbana,Mujer,45,2,1,32,no,0
Urbana,Mujer,11,1,1,41,si,41
Urbana,Hombre,50,2,1,77,no,0
Urbana,Mujer,51,2,1,23,no,0
Urbana,Hombre,19,1,1,42,si,72
Urbana,Mujer,16,1,1,42,si,42
Urbana,Mujer,40,1,2,75,no,0
Urbana,Hombre,16,1,2,42,si,42
Urbana,Hombre,14,1,2,42,si,42
Urbana,Mujer,60,6,2,22,no,0
Urbana,Mujer,30,1,2,32,no,0
Urbana,Hombre,36,2,1,75,no,0
Urbana,Mujer,35,2,2,77,no,0
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,4,1,2,11,si,13
Urbana,Hombre,29,2,1,72,no,0
Urbana,Mujer,24,2,1,72,si,72
Urbana,Mujer,1,1,2,0,no,0
Urbana,Hombre,28,1,2,32,no,0
Urbana,Hombre,46,2,2,23,no,0
Urbana,Mujer,45,2,2,32,no,0
Urbana,Mujer,9,1,2,41,si,41
Urbana,Hombre,71,2,2,23,no,0
Urbana,Mujer,75,2,2,21,no,0
Urbana,Hombre,56,2,2,23,no,0
Urbana,Mujer,58,2,2,21,no,0
Urbana,Hombre,23,1,1,72,si,72
Urbana,Hombre,62,2,1,21,no,0
Urbana,Hombre,23,2,2,42,no,0
Urbana,Mujer,21,2,2,72,si,72
Urbana,Mujer,0,1,2,0,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Mujer,24,1,2,72,si,72
Urbana,Mujer,26,1,2,72,si,72
Urbana,Hombre,29,2,1,72,si,72
Urbana,Mujer,29,2,1,72,no,0
Urbana,Mujer,3,1,2,0,no,0
Urbana,Mujer,58,4,1,21,no,0
Urbana,Mujer,32,1,1,77,no,0
Urbana,Hombre,9,1,1,41,si,41
Urbana,Hombre,37,2,1,77,no,0
Urbana,Mujer,32,2,1,32,no,0
Urbana,Hombre,16,1,1,42,si,42
Urbana,Mujer,13,1,1,42,si,42
Urbana,Mujer,0,1,1,0,no,0
Urbana,Mujer,40,4,1,23,no,0
Urbana,Mujer,5,1,1,13,si,13
Urbana,Hombre,3,1,1,0,no,0
Urbana,Hombre,33,2,1,72,no,0
Urbana,Mujer,29,2,1,77,no,0
Urbana,Mujer,8,1,1,41,si,41
Urbana,Mujer,65,6,1,21,no,0
Urbana,Hombre,9,1,1,41,si,41
Urbana,Hombre,33,1,1,32,no,0
Urbana,Mujer,43,2,1,21,no,0
Urbana,Hombre,42,2,1,23,no,0
Urbana,Mujer,18,1,1,42,si,42
Urbana,Mujer,16,1,1,42,si,42
Urbana,Mujer,44,6,1,22,no,0
Urbana,Mujer,18,1,1,42,si,42
Urbana,Hombre,15,1,1,42,si,42
Urbana,Hombre,47,6,1,21,no,0
Urbana,Hombre,22,1,1,72,si,72
Urbana,Hombre,20,1,1,72,si,72
Urbana,Hombre,45,2,2,23,no,0
Urbana,Mujer,43,2,2,23,no,0
Urbana,Mujer,13,1,2,41,si,42
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,40,2,1,32,no,0
Urbana,Mujer,40,2,2,32,no,0
Urbana,Mujer,19,1,2,42,si,72
Urbana,Hombre,17,1,2,42,si,42
Urbana,Hombre,42,2,1,23,no,0
Urbana,Mujer,40,2,1,32,no,0
Urbana,Hombre,13,1,1,42,si,42
Urbana,Hombre,9,1,1,41,si,41
Urbana,Hombre,48,2,2,23,no,0
Urbana,Mujer,43,2,2,23,no,0
Urbana,Hombre,20,1,2,42,no,0
Urbana,Hombre,25,1,2,72,si,72
Urbana,Hombre,23,1,2,42,no,0
Urbana,Hombre,19,1,2,42,si,72
Urbana,Hombre,36,3,2,31,no,0
Urbana,Mujer,36,3,2,32,no,0
Urbana,Mujer,18,1,2,42,si,42
Urbana,Hombre,16,1,2,42,si,42
Urbana,Mujer,14,1,2,42,si,42
Urbana,Mujer,9,1,2,41,si,41
Urbana,Hombre,5,1,2,11,si,13
Urbana,Hombre,24,2,2,42,no,0
Urbana,Mujer,21,2,2,42,no,0
Urbana,Hombre,1,1,2,0,no,0
Urbana,Mujer,47,6,2,21,no,0
Urbana,Mujer,55,6,1,22,no,0
Urbana,Hombre,37,2,1,77,no,0
Urbana,Mujer,36,2,1,23,no,0
Urbana,Hombre,14,1,1,42,si,42
Urbana,Mujer,10,1,1,41,si,41
Urbana,Hombre,6,1,1,13,si,41
Urbana,Mujer,0,1,1,0,no,0
Urbana,Hombre,50,2,1,75,no,0
Urbana,Mujer,45,2,1,23,no,0
Urbana,Mujer,21,1,2,42,si,72
Urbana,Mujer,15,1,2,42,si,42
Urbana,Hombre,6,1,2,13,si,41
Urbana,Hombre,40,2,2,72,si,74
Urbana,Mujer,58,5,1,21,no,0
Urbana,Mujer,19,1,1,42,si,42
Urbana,Hombre,38,2,1,31,no,0
Urbana,Mujer,43,2,1,31,no,0
Urbana,Mujer,17,1,1,42,si,42
Urbana,Mujer,12,1,1,42,si,42
Urbana,Hombre,52,2,1,23,no,0
Urbana,Hombre,27,2,1,72,no,0
Urbana,Mujer,27,2,1,32,no,0
Urbana,Hombre,3,1,1,0,no,0
Urbana,Mujer,41,2,1,23,no,0
Urbana,Hombre,12,1,1,41,si,41
Urbana,Mujer,11,1,1,41,si,41
Urbana,Hombre,9,1,1,41,si,41
Urbana,Mujer,3,1,1,0,no,0
Urbana,Hombre,32,2,1,32,no,0
Urbana,Mujer,36,2,1,32,no,0
Urbana,Mujer,8,1,1,41,si,41
Urbana,Mujer,6,1,1,13,si,41
Urbana,Mujer,54,6,1,22,no,0
Urbana,Hombre,32,1,1,77,no,0
Urbana,Hombre,30,1,1,77,si,81
Urbana,Mujer,20,1,1,42,no,0
Urbana,Mujer,43,3,1,21,no,0
Urbana,Hombre,44,3,1,77,no,0
Urbana,Mujer,12,1,1,41,si,41
Urbana,Hombre,55,2,1,23,no,0
Urbana,Mujer,55,2,1,21,no,0
Urbana,Mujer,25,1,1,72,si,72
Urbana,Hombre,61,6,1,21,no,0
Urbana,Mujer,52,4,1,22,no,0
Urbana,Hombre,26,3,1,32,no,0
Urbana,Mujer,25,3,1,32,no,0
Urbana,Mujer,3,1,2,0,no,0
Urbana,Mujer,2,1,2,0,no,0
Urbana,Hombre,34,3,1,31,no,0
Urbana,Mujer,34,3,1,32,no,0
Urbana,Hombre,9,1,1,41,si,41
Urbana,Mujer,31,6,2,32,no,0
Urbana,Hombre,9,1,2,41,si,41
Urbana,Mujer,32,4,2,31,no,0
Urbana,Mujer,3,1,2,0,no,0
Urbana,Mujer,2,1,2,0,no,0
Urbana,Hombre,73,2,2,22,no,0
Urbana,Mujer,58,2,2,21,no,0
Urbana,Hombre,48,2,2,72,no,0
Urbana,Mujer,49,2,2,22,no,0
Urbana,Hombre,25,1,2,72,si,72
Urbana,Mujer,24,1,2,72,si,72
Urbana,Hombre,22,1,2,72,si,72
Urbana,Hombre,44,2,1,23,no,0
Urbana,Mujer,45,2,1,23,no,0
Urbana,Mujer,21,1,1,72,si,72
Urbana,Hombre,13,1,1,41,si,42
Urbana,Mujer,66,6,1,21,no,0
Urbana,Hombre,24,1,1,72,no,0
Urbana,Mujer,67,2,1,21,no,0
Urbana,Hombre,32,1,1,72,si,72
Urbana,Mujer,23,1,1,72,si,72
Urbana,Mujer,35,1,1,72,no,0
Urbana,Mujer,1,1,1,0,no,0
Urbana,Hombre,38,2,1,52,no,0
Urbana,Mujer,40,2,1,52,no,0
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,6,1,2,13,si,41
Urbana,Mujer,4,1,2,11,si,13
Urbana,Mujer,66,1,1,21,no,0
Urbana,Hombre,45,2,1,32,no,0
Urbana,Mujer,40,2,1,32,no,0
Urbana,Hombre,16,1,2,42,si,42
Urbana,Hombre,11,1,2,41,si,41
Urbana,Mujer,80,6,1,11,no,0
Urbana,Mujer,45,1,1,77,no,0
Urbana,Mujer,86,4,1,11,no,0
Urbana,Hombre,26,3,2,41,no,0
Urbana,Mujer,22,3,2,42,no,0
Urbana,Mujer,4,1,2,11,si,13
Urbana,Hombre,24,3,2,42,no,0
Urbana,Mujer,18,3,2,42,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Hombre,60,2,1,21,no,0
Urbana,Mujer,67,2,1,11,no,0
Urbana,Hombre,49,2,1,22,no,0
Urbana,Mujer,50,2,1,21,no,0
Urbana,Hombre,37,2,2,32,no,0
Urbana,Mujer,34,2,2,32,no,0
Urbana,Hombre,5,1,2,13,si,13
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,1,1,2,0,no,0
Urbana,Hombre,40,2,2,23,no,0
Urbana,Mujer,40,2,2,32,no,0
Urbana,Mujer,20,1,2,42,no,0
Urbana,Mujer,18,1,2,42,no,0
Urbana,Hombre,9,1,2,41,si,41
Urbana,Mujer,76,4,2,11,no,0
Urbana,Hombre,71,6,1,21,no,0
Urbana,Hombre,21,3,2,42,no,0
Urbana,Mujer,19,3,2,42,no,0
Urbana,Hombre,49,3,2,72,no,0
Urbana,Mujer,36,3,2,31,no,0
Urbana,Hombre,17,1,2,42,si,42
Urbana,Mujer,15,1,2,42,si,42
Urbana,Mujer,7,1,2,13,si,41
Urbana,Mujer,5,1,2,13,si,13
Urbana,Hombre,1,1,2,0,no,0
Urbana,Hombre,33,2,2,32,no,0
Urbana,Mujer,30,2,2,32,no,0
Urbana,Mujer,9,1,2,41,si,41
Urbana,Hombre,6,1,2,13,si,13
Urbana,Mujer,4,1,2,11,no,0
Urbana,Hombre,23,1,2,72,si,72
Urbana,Mujer,30,4,1,31,no,0
Urbana,Mujer,10,1,2,41,si,41
Urbana,Mujer,5,1,2,13,si,13
Urbana,Hombre,88,2,1,79,no,0
Urbana,Mujer,78,2,1,21,no,0
Urbana,Hombre,42,1,2,72,no,0
Urbana,Hombre,41,2,1,32,no,0
Urbana,Mujer,38,2,1,32,no,0
Urbana,Mujer,16,1,2,42,si,42
Urbana,Mujer,13,1,2,42,si,42
Urbana,Hombre,11,1,2,41,si,42
Urbana,Hombre,41,2,1,72,no,0
Urbana,Mujer,41,2,1,72,no,0
Urbana,Mujer,17,1,2,42,si,42
Urbana,Hombre,12,1,2,41,si,42
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,58,6,2,21,no,0
Urbana,Hombre,32,1,2,76,no,0
Urbana,Hombre,31,1,2,32,no,0
Urbana,Hombre,25,1,2,32,no,0
Urbana,Hombre,41,2,1,23,no,0
Urbana,Mujer,43,2,1,22,no,0
Urbana,Mujer,19,1,2,42,si,72
Urbana,Hombre,15,1,2,42,si,42
Urbana,Hombre,63,6,1,22,no,0
Urbana,Hombre,26,3,1,32,no,0
Urbana,Mujer,22,3,1,42,no,0
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,0,1,2,0,no,0
Urbana,Hombre,42,6,1,21,no,0
Urbana,Hombre,58,6,2,21,no,0
Urbana,Hombre,25,1,2,72,si,72
Urbana,Hombre,24,1,2,72,si,72
Urbana,Mujer,22,1,2,72,no,0
Urbana,Hombre,20,1,2,42,si,77
Urbana,Mujer,16,1,2,42,si,42
Urbana,Hombre,48,3,2,21,no,0
Urbana,Mujer,48,3,2,21,no,0
Urbana,Mujer,15,1,2,42,si,42
Urbana,Hombre,12,1,2,41,si,41
Urbana,Hombre,45,1,2,23,no,0
Urbana,Mujer,48,1,2,23,no,0
Urbana,Hombre,49,2,2,23,no,0
Urbana,Mujer,45,2,2,21,no,0
Urbana,Hombre,14,1,2,42,si,42
Urbana,Hombre,38,2,1,32,no,0
Urbana,Mujer,37,2,1,32,no,0
Urbana,Mujer,5,1,1,11,si,13
Urbana,Mujer,79,6,1,21,no,0
Urbana,Mujer,51,1,1,21,no,0
Urbana,Mujer,28,4,1,32,no,0
Urbana,Hombre,11,1,1,41,si,41
Urbana,Mujer,4,1,1,11,no,0
Urbana,Hombre,43,4,1,22,no,0
Urbana,Hombre,25,1,1,72,si,72
Urbana,Mujer,66,1,2,21,no,0
Urbana,Hombre,24,1,2,72,si,72
Urbana,Mujer,34,1,2,77,no,0
Urbana,Hombre,4,1,2,11,si,13
Urbana,Mujer,70,2,1,11,no,0
Urbana,Mujer,38,1,1,31,no,0
Urbana,Hombre,35,1,1,77,no,0
Urbana,Hombre,30,1,1,77,no,0
Urbana,Hombre,25,1,1,32,si,72
Urbana,Hombre,46,2,1,79,no,0
Urbana,Mujer,46,2,1,31,no,0
Urbana,Mujer,22,1,1,72,si,72
Urbana,Hombre,15,1,1,42,si,42
Urbana,Mujer,39,2,1,72,si,81
Urbana,Hombre,39,2,1,72,no,0
Urbana,Mujer,14,1,2,42,si,42
Urbana,Hombre,8,1,2,41,si,41
Urbana,Mujer,6,1,2,13,si,41
Urbana,Mujer,46,6,1,22,no,0
Urbana,Mujer,23,1,2,72,si,72
Urbana,Hombre,21,1,2,72,si,72
Urbana,Hombre,43,2,1,77,no,0
Urbana,Mujer,47,2,1,11,no,0
Urbana,Mujer,21,1,2,72,si,72
Urbana,Hombre,18,1,2,42,si,72
Urbana,Hombre,17,1,2,42,si,42
Urbana,Mujer,11,1,2,41,si,41
Urbana,Hombre,55,2,2,74,no,0
Urbana,Mujer,30,2,2,71,no,0
Urbana,Hombre,5,1,2,13,si,13
Urbana,Mujer,1,1,2,0,no,0
Urbana,Hombre,38,2,1,32,no,0
Urbana,Mujer,40,2,1,32,no,0
Urbana,Mujer,14,1,2,42,si,42
Urbana,Mujer,13,1,2,41,si,42
Urbana,Mujer,6,1,2,13,si,41
Urbana,Hombre,67,3,1,23,no,0
Urbana,Mujer,58,3,1,21,no,0
Urbana,Mujer,17,1,2,42,si,42
Urbana,Mujer,14,1,2,42,si,42
Urbana,Hombre,44,2,2,32,no,0
Urbana,Mujer,45,2,2,32,no,0
Urbana,Mujer,18,1,2,42,si,42
Urbana,Mujer,16,1,2,42,si,42
Urbana,Mujer,12,1,2,41,si,42
Urbana,Hombre,6,1,2,13,si,13
Urbana,Hombre,39,2,2,71,no,0
Urbana,Mujer,31,2,2,71,no,0
Urbana,Hombre,15,1,2,42,si,42
Urbana,Hombre,13,1,2,42,si,42
Urbana,Hombre,8,1,2,41,si,41
Urbana,Hombre,56,2,2,22,no,0
Urbana,Mujer,54,2,2,21,no,0
Urbana,Mujer,28,1,2,32,no,0
Urbana,Hombre,26,1,2,32,no,0
Urbana,Hombre,24,1,2,77,no,0
Urbana,Hombre,22,1,2,72,si,72
Urbana,Hombre,20,1,2,42,si,77
Urbana,Mujer,18,1,2,42,si,42
Urbana,Hombre,14,1,2,42,si,42
Urbana,Hombre,30,3,2,32,no,0
Urbana,Mujer,23,3,2,42,no,0
Urbana,Mujer,4,1,2,11,si,13
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,25,1,2,42,no,0
Urbana,Mujer,60,6,2,71,no,0
Urbana,Mujer,18,1,2,42,si,72
Urbana,Hombre,10,1,2,41,si,41
Urbana,Hombre,66,2,2,21,no,0
Urbana,Mujer,65,2,2,21,no,0
Urbana,Mujer,30,4,2,71,no,0
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,21,3,2,42,no,0
Urbana,Mujer,21,3,2,42,no,0
Urbana,Hombre,4,1,2,11,no,0
Urbana,Hombre,48,3,1,23,no,0
Urbana,Mujer,44,3,1,21,no,0
Urbana,Hombre,14,1,2,42,si,42
Urbana,Hombre,11,1,2,41,si,41
Urbana,Hombre,38,2,2,77,no,0
Urbana,Mujer,30,2,2,32,no,0
Urbana,Mujer,11,1,2,41,si,41
Urbana,Hombre,9,1,2,41,si,41
Urbana,Mujer,2,1,2,0,no,0
Urbana,Mujer,41,3,1,21,no,0
Urbana,Mujer,16,1,2,42,si,42
Urbana,Hombre,15,1,2,42,si,42
Urbana,Hombre,10,1,2,41,si,41
Urbana,Hombre,8,1,2,41,si,41
Urbana,Mujer,7,1,2,13,si,41
Urbana,Hombre,37,2,1,31,no,0
Urbana,Mujer,37,2,1,31,no,0
Urbana,Mujer,17,1,2,42,si,42
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,7,1,2,41,si,41
Urbana,Hombre,42,3,1,22,no,0
Urbana,Mujer,39,3,1,31,no,0
Urbana,Hombre,3,1,2,0,no,0
Urbana,Mujer,52,4,1,21,no,0
Urbana,Mujer,20,1,2,72,si,72
Urbana,Hombre,19,1,2,42,no,0
Urbana,Hombre,18,1,2,42,no,0
Urbana,Mujer,16,1,2,42,si,42
Urbana,Mujer,13,1,2,41,si,42
Urbana,Hombre,62,6,1,11,no,0
Urbana,Mujer,26,1,2,72,si,72
Urbana,Mujer,35,1,2,71,no,0
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,7,1,2,41,si,41
Urbana,Hombre,38,2,2,71,no,0
Urbana,Mujer,39,2,2,71,no,0
Urbana,Hombre,14,1,2,42,si,42
Urbana,Mujer,9,1,2,41,si,41
Urbana,Mujer,39,1,2,77,no,0
Urbana,Mujer,17,1,2,42,si,42
Urbana,Mujer,35,4,2,32,no,0
Urbana,Hombre,16,1,2,42,si,42
Urbana,Mujer,12,1,2,41,si,42
Urbana,Mujer,5,1,2,13,si,13
Urbana,Mujer,38,6,2,32,no,0
Urbana,Hombre,9,1,2,41,si,41
Urbana,Mujer,6,1,2,13,si,41
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,59,2,1,21,no,0
Urbana,Mujer,55,2,1,21,no,0
Urbana,Hombre,37,2,1,72,no,0
Urbana,Mujer,32,2,1,72,no,0
Urbana,Mujer,7,1,2,41,si,41
Urbana,Mujer,4,1,2,11,si,13
Urbana,Mujer,21,1,2,42,no,0
Urbana,Hombre,34,3,1,32,no,0
Urbana,Mujer,36,3,1,31,no,0
Urbana,Hombre,4,1,1,11,no,0
Urbana,Hombre,57,2,1,21,no,0
Urbana,Mujer,55,2,1,11,no,0
Urbana,Hombre,25,1,1,72,si,72
Urbana,Mujer,13,1,1,41,si,42
Urbana,Hombre,37,2,2,32,no,0
Urbana,Mujer,35,2,2,32,no,0
Urbana,Mujer,14,1,2,42,si,42
Urbana,Hombre,6,1,2,13,si,41
Urbana,Hombre,35,3,1,77,no,0
Urbana,Mujer,32,3,1,32,no,0
Urbana,Hombre,11,1,2,41,si,41
Urbana,Mujer,9,1,2,41,si,41
Urbana,Mujer,2,1,2,0,no,0
Urbana,Hombre,56,6,1,21,no,0
Urbana,Mujer,26,1,1,72,no,0
Urbana,Hombre,59,2,2,22,no,0
Urbana,Mujer,59,2,2,21,no,0
Urbana,Hombre,36,1,2,72,no,0
Urbana,Mujer,32,1,2,72,no,0
Urbana,Hombre,54,2,2,23,no,0
Urbana,Mujer,50,2,2,22,no,0
Urbana,Mujer,30,1,2,72,no,0
Urbana,Mujer,28,1,2,72,no,0
Urbana,Mujer,21,1,2,72,si,72
Urbana,Mujer,19,1,2,72,si,72
Urbana,Hombre,28,1,2,32,no,0
Urbana,Mujer,52,4,2,22,no,0
Urbana,Mujer,25,1,2,72,no,0
Urbana,Hombre,53,3,2,21,no,0
Urbana,Mujer,53,3,2,21,no,0
Urbana,Hombre,19,1,2,42,no,0
Urbana,Hombre,15,1,2,42,si,42
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,31,2,1,71,no,0
Urbana,Mujer,29,2,1,72,no,0
Urbana,Mujer,8,1,1,41,si,41
Urbana,Mujer,47,3,1,21,no,0
Urbana,Hombre,10,1,2,41,si,41
Urbana,Hombre,68,6,1,22,no,0
Urbana,Hombre,45,1,2,23,no,0
Urbana,Hombre,40,1,2,21,no,0
Urbana,Hombre,40,3,2,21,si,62
Urbana,Mujer,38,3,2,71,no,0
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,5,1,2,13,si,13
Urbana,Hombre,40,3,2,31,no,0
Urbana,Mujer,25,3,2,32,no,0
Urbana,Hombre,6,1,2,13,si,41
Urbana,Hombre,5,1,2,13,si,13
Urbana,Hombre,30,3,2,32,no,0
Urbana,Mujer,27,3,2,32,no,0
Urbana,Hombre,7,1,2,41,si,41
Urbana,Mujer,6,1,2,13,si,13
Urbana,Hombre,43,2,2,22,no,0
Urbana,Mujer,40,2,2,21,no,0
Urbana,Hombre,26,1,2,79,no,0
Urbana,Hombre,24,1,2,72,si,72
Urbana,Hombre,48,2,1,77,no,0
Urbana,Mujer,45,2,1,72,no,0
Urbana,Hombre,16,1,2,42,si,42
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,6,1,2,13,si,13
Urbana,Hombre,42,2,1,80,no,0
Urbana,Mujer,38,2,2,77,si,77
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,1,1,2,0,no,0
Urbana,Mujer,58,6,1,11,no,0
Urbana,Hombre,22,1,2,72,si,72
Urbana,Hombre,19,1,2,72,si,72
Urbana,Hombre,55,2,1,23,no,0
Urbana,Mujer,47,2,1,21,no,0
Urbana,Mujer,30,3,2,72,no,0
Urbana,Hombre,27,1,2,71,si,71
Urbana,Hombre,37,3,2,31,no,0
Urbana,Hombre,29,2,1,32,no,0
Urbana,Mujer,28,2,1,32,no,0
Urbana,Mujer,7,1,1,13,si,41
Urbana,Hombre,40,2,1,22,no,0
Urbana,Mujer,39,2,1,32,no,0
Urbana,Hombre,21,1,2,42,no,0
Urbana,Hombre,19,1,2,42,si,72
Urbana,Hombre,12,1,2,41,si,42
Urbana,Hombre,50,2,1,23,no,0
Urbana,Mujer,47,2,1,22,no,0
Urbana,Mujer,18,1,2,42,si,42
Urbana,Mujer,24,1,1,42,no,0
Urbana,Mujer,4,1,1,11,no,0
Urbana,Hombre,25,3,2,32,no,0
Urbana,Mujer,23,3,2,42,no,0
Urbana,Mujer,4,1,2,11,si,13
Urbana,Hombre,1,1,2,0,no,0
Urbana,Hombre,36,3,2,32,no,0
Urbana,Mujer,32,3,2,72,no,0
Urbana,Hombre,10,1,2,41,si,41
Urbana,Hombre,42,2,2,23,no,0
Urbana,Mujer,40,2,2,21,no,0
Urbana,Hombre,22,1,2,72,si,72
Urbana,Hombre,30,3,2,32,no,0
Urbana,Mujer,25,3,2,42,no,0
Urbana,Mujer,4,1,2,11,si,13
